Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{ContactInfoSectionHeadline}},,profileinfo.conatactindosection.headline,ProfileInfo,ContactInfoSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{ContactInfoSectionSubhead}},,profileinfo.conatactindosection.headline,ProfileInfo,ContactInfoSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonUID}},autogenerated,person.uid,ProfileInfo,ContactInfoSection,,,PersonUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonFirstName}},required; min 1; max 13,person.givenname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtGivenName,givenName,First Name,foaf:givenName,input,text,,,,13,,,,,TRUE,First Name is required,,,,Player First Name is required,,trigGivenNameOnChange,,TRUE,FALSE,,FrontCover,BackCover,Spine,,,,,,,,,,,,,Interior_Players,Letter_Player-to-Parent,Letter_Parent-to-Player,,,,,
{{PersonMiddleName}},max 13,person.middlename,ProfileInfo,ContactInfoSection,,txtMiddleName,middleName,Middle,middleName,,,,,,13,,,,,,,,,,,,trigMiddleNameOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonLastName}},required; min 1; max 13,person.familyname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtLastName,familyName,Last Name,foaf:familyName,input,text,,,,13,,,,,TRUE,Last Name is required,,,,Player Last Name is required,,TrigFamilyNameOnChange,,,FALSE,,FrontCover,BackCover,Spine,,,,,,,,,,,,,Interior_Players,Letter_Player-to-Parent,Letter_Parent-to-Player,,,,,
{{PersonInformalName}},required; min 1; max 13,person.informalname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtNickName,nickName,Informal Name,foaf:nick,input,text,,,,13,,,,,,,,,,,,trigInfomralNameOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonNamePrefix}},,person.prefix,ProfileInfo,ContactInfoSection,"Parent, Staff",txtPrefix,prefix,Prefix,dbp:prefix,,,,First name to be used in the book,,13,,,,,,,,,,,,trigNamePrfixOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonNameSuffix}},,person.suffix,ProfileInfo,ContactInfoSection,Staff,txtSuffix,suffix,Suffix,dbp:suffix,,,,,,,,,,,,,,,,,,trigNameSuffixOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
