content map,id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete
employee.client.uid,txtClientUID,ClientUID,Client UID,,,,,,,,,,,,,,,,,,,,,,
employee.client.employeeid,txtEmployeeId,EmployeeID,Employee ID,,,,,,,,,,,,,,,,,,,,,,
emploee.person.uid,txtPersonUID,PersonUID,Person UID,,,,,,,,,,,,,,,,,,,,,,
employee.person.givenname,txtGivenName,givenName,First Name,foaf:givenName,input,text,,,,13,,,,,TRUE,First Name is required,,,,Player First Name is required,,trigGivenNameOnChange,,TRUE,FALSE
employee.person.middlename,txtMiddleName,middleName,Middle,middleName,,,,,,13,,,,,,,,,,,,trigMiddleNameOnChange,,,
employee.person.familyname,txtLastName,familyName,Last Name,foaf:familyName,input,text,,,,13,,,,,TRUE,Last Name is required,,,,Player Last Name is required,,TrigFamilyNameOnChange,,,FALSE
employee.person.informalname,txtNickName,nickName,Informal Name,foaf:nick,input,text,,,,13,,,,,,,,,,,,trigInfomralNameOnChange,,,
employee.person.prefix,txtPrefix,prefix,Prefix,dbp:prefix,,,,First name to be used in the book,,13,,,,,,,,,,,,trigNamePrfixOnChange,,,
employee.person.suffix,txtSuffix,suffix,Suffix,dbp:suffix,,,,,,,,,,,,,,,,,,trigNameSuffixOnChange,,,
employee.person.fullname,txtFullName,fullName,Name,foaf:name,,,,,,,,,35,,,,,,,,calcFullName,trigFullNameOnChange; trigUpdateFullName,,,
employee.person.gender,ddlGender,gender,Gender,foaf:gender,select,datalist,"value=""MAL"" Male, value=""FEM"" Female",,,,,,,,TRUE,Gender is required,,,,,,trigGenderOnChange,,,
employee.person.dateofbirth,dateOfBirth,dateOfBirth,DateOfBirth,dbo:dateOfBirth,input,date,,Date of birth mm/dd/yyyy,,,,,,,,,,testDateSyntax,,,,trigDateOfBirthOnChange,,,
employee.person.emailaddress,txtEmailAddres,emailAddres,Email Addres,foaf:mbox,input,email,,,,30,,,30,,TRUE,Email Address/Mobile is required,,testEmailSyntax,"[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,3}$",Please Enter Valid Email Address,,trigEmailAddressOnChange,,,
employee.person.phonenumber,txtPhoneNumber,phoneNumber,Phone Number,foaf:phone,input,tel,,,,10,,,30,,,,,testUSPhoneNumber,"NOT(REGEX(Phone, ""\\D*?(\\d\\D*?){10}""))",US phone numbers should be in this format: (999) 999-9999.,,trigPhoneNumberOnChange,,,
